[0.000000] (-) TimerEvent: {}
[0.000723] (-) JobUnselected: {'identifier': 'dis_tutorial4'}
[0.000769] (dis_tutorial3) JobQueued: {'identifier': 'dis_tutorial3', 'dependencies': OrderedDict()}
[0.213334] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch\n'}
[0.213485] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/ignition.launch.py\n'}
[0.213572] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/dis_sim.launch.py\n'}
[0.213656] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/turtlebot4_spawn.launch.py\n'}
[0.213735] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/sim_turtlebot_slam.launch.py\n'}
[0.213858] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/nav2.launch.py\n'}
[0.213960] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/turtlebot4_spawn_nav.launch.py\n'}
[0.214040] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/slam.launch.py\n'}
[0.214158] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/localization.launch.py\n'}
[0.214341] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/sim_turtlebot_nav.launch.py\n'}
[0.214470] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//config\n'}
[0.214693] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//config/slam.yaml\n'}
[0.214862] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//config/laser_filter_chain.yaml\n'}
[0.214963] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//config/localization.yaml\n'}
[0.215049] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//config/nav2.yaml\n'}
[0.215126] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds\n'}
[0.215211] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis.sdf\n'}
[0.215309] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1.sdf\n'}
[0.215397] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes\n'}
[0.215480] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/person20.png\n'}
[0.215570] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/person7.png\n'}
[0.215653] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/cylinders.jpg\n'}
[0.215780] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/fakering1.jpg\n'}
[0.215856] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/person6.png\n'}
[0.215935] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/fakering3.jpg\n'}
[0.216086] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/objects.jpg\n'}
[0.216194] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/ground.jpg\n'}
[0.216283] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/parking_space.jpg\n'}
[0.216382] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/person18.png\n'}
[0.216540] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/qr2.jpg\n'}
[0.216657] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/qr1.jpg\n'}
[0.216755] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/person9.png\n'}
[0.216896] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/fakering2.jpg\n'}
[0.217001] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/map_colliders.dae\n'}
[0.217072] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/map.dae\n'}
[0.217147] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/person8.png\n'}
[0.217220] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes\n'}
[0.217306] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/person3.png\n'}
[0.217386] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/cylinders.jpg\n'}
[0.217461] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/fakering1.jpg\n'}
[0.217527] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/person11.png\n'}
[0.217599] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/person4.png\n'}
[0.217653] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/fakering3.jpg\n'}
[0.217702] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/objects.jpg\n'}
[0.217770] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/ground.jpg\n'}
[0.217830] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/parking_space.jpg\n'}
[0.217883] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/person2.png\n'}
[0.217933] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/qr2.jpg\n'}
[0.217982] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/person1.png\n'}
[0.218036] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/qr1.jpg\n'}
[0.218108] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/fakering2.jpg\n'}
[0.218161] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/map_colliders.dae\n'}
[0.218213] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/map.dae\n'}
[0.218263] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/person5.png\n'}
[0.218315] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2.sdf\n'}
[0.218396] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis_meshes\n'}
[0.218486] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis_meshes/cylinders.jpg\n'}
[0.218555] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis_meshes/person4.jpg\n'}
[0.218612] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis_meshes/fakering1.jpg\n'}
[0.218689] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis_meshes/wood.jpg\n'}
[0.218817] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis_meshes/fakering3.jpg\n'}
[0.218907] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis_meshes/objects.jpg\n'}
[0.218989] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis_meshes/ground.jpg\n'}
