[0.000000] (-) TimerEvent: {}
[0.000850] (-) JobUnselected: {'identifier': 'dis_tutorial4'}
[0.000888] (dis_tutorial3) JobQueued: {'identifier': 'dis_tutorial3', 'dependencies': OrderedDict()}
[0.206514] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch\n'}
[0.206595] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/ignition.launch.py\n'}
[0.206717] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/dis_sim.launch.py\n'}
[0.206896] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/turtlebot4_spawn.launch.py\n'}
[0.207022] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/sim_turtlebot_slam.launch.py\n'}
[0.207106] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/nav2.launch.py\n'}
[0.207212] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/turtlebot4_spawn_nav.launch.py\n'}
[0.207298] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/slam.launch.py\n'}
[0.207372] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/localization.launch.py\n'}
[0.207440] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//launch/sim_turtlebot_nav.launch.py\n'}
[0.207510] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//config\n'}
[0.207593] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//config/slam.yaml\n'}
[0.207668] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//config/laser_filter_chain.yaml\n'}
[0.207740] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//config/localization.yaml\n'}
[0.207832] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//config/nav2.yaml\n'}
[0.207907] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds\n'}
[0.207980] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis.sdf\n'}
[0.208067] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1.sdf\n'}
[0.208147] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes\n'}
[0.208226] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/person20.png\n'}
[0.208303] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/person7.png\n'}
[0.208369] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/cylinders.jpg\n'}
[0.208432] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/fakering1.jpg\n'}
[0.208490] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/person6.png\n'}
[0.208568] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/fakering3.jpg\n'}
[0.208623] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/objects.jpg\n'}
[0.208745] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/ground.jpg\n'}
[0.208810] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/parking_space.jpg\n'}
[0.208866] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/person18.png\n'}
[0.209027] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/qr2.jpg\n'}
[0.209092] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/qr1.jpg\n'}
[0.209161] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/person9.png\n'}
[0.209217] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/fakering2.jpg\n'}
[0.209281] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/map_colliders.dae\n'}
[0.209332] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/map.dae\n'}
[0.209401] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2_meshes/person8.png\n'}
[0.209461] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes\n'}
[0.209549] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/person3.png\n'}
[0.209612] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/cylinders.jpg\n'}
[0.209719] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/fakering1.jpg\n'}
[0.209822] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/person11.png\n'}
[0.209895] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/person4.png\n'}
[0.209969] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/fakering3.jpg\n'}
[0.210072] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/objects.jpg\n'}
[0.210152] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/ground.jpg\n'}
[0.210223] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/parking_space.jpg\n'}
[0.210300] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/person2.png\n'}
[0.210377] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/qr2.jpg\n'}
[0.210445] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/person1.png\n'}
[0.210518] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/qr1.jpg\n'}
[0.210584] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/fakering2.jpg\n'}
[0.210645] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/map_colliders.dae\n'}
[0.210707] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/map.dae\n'}
[0.210771] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo1_meshes/person5.png\n'}
[0.210847] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/demo2.sdf\n'}
[0.210930] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/task2_exam.sdf\n'}
[0.211002] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis_meshes\n'}
[0.211077] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis_meshes/cylinders.jpg\n'}
[0.211140] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis_meshes/person4.jpg\n'}
[0.211191] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis_meshes/fakering1.jpg\n'}
[0.211241] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis_meshes/wood.jpg\n'}
[0.211289] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis_meshes/fakering3.jpg\n'}
[0.211335] (dis_tutorial3) StdoutLine: {'line': b'-- Up-to-date: /home/mu/RINSproject/src/install/dis_tutorial3/share/dis_tutorial3//worlds/dis_meshes/objects.jpg\n'}
